date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:50	11373/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/begin/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/begin/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:50	11153/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/end/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/end/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:51	11693/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/rbegin/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/rbegin/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:51	11539/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/rend/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/rend/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:52	2586/2586	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:29:54%20GMT	http://www.cplusplus.com/reference/new.cgi?a=iostream+filebuf	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/new6ab5.html	(from http://www.cplusplus.com/reference/)
12:00:52	11106/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/empty/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/empty/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:52	10960/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/size/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/size/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:53	2603/2603	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:29:55%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=iostream+filebuf	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/edit6ab5.html	(from http://www.cplusplus.com/reference/)
12:00:53	10758/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/max_size/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/max_size/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:53	14091/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/insert/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/insert/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
